vereador,faltas,faltas_abonadas,total_de_faltas,ano,nome_mes,mes
Alexandre Arraes,0,0,0,2017,fevereiro,2
Alexandre Isquierdo,0,0,0,2017,fevereiro,2
Carlo Caiado,0,0,0,2017,fevereiro,2
Carlos Bolsonaro,0,0,0,2017,fevereiro,2
Cesar Maia,1,1,0,2017,fevereiro,2
Chiquinho Brazão,3,0,3,2017,fevereiro,2
Cláudio Castro,1,0,1,2017,fevereiro,2
David Miranda,0,0,0,2017,fevereiro,2
Dr. Gilberto,1,0,1,2017,fevereiro,2
Dr. Jairinho,1,0,1,2017,fevereiro,2
Dr. João Ricardo,1,1,0,2017,fevereiro,2
Dr. Jorge Manaia,0,0,0,2017,fevereiro,2
Dr. Sergio Alves,0,0,0,2017,fevereiro,2
Eliseu Kessler,2,0,2,2017,fevereiro,2
Felipe Michel,0,0,0,2017,fevereiro,2
Fernando William,0,0,0,2017,fevereiro,2
Inaldo Silva,0,0,0,2017,fevereiro,2
Italo Ciba,0,0,0,2017,fevereiro,2
Jair da Mendes Gomes,0,0,0,2017,fevereiro,2
João Mendes de Jesus,0,0,0,2017,fevereiro,2
Jones Moura,0,0,0,2017,fevereiro,2
Jorge Felippe,2,1,1,2017,fevereiro,2
Junior da Lucinha,1,0,1,2017,fevereiro,2
Leandro Lyra,0,0,0,2017,fevereiro,2
Leonel Brizola,3,0,3,2017,fevereiro,2
Luciana Novaes,0,0,0,2017,fevereiro,2
Luiz Carlos Ramos Filho,0,0,0,2017,fevereiro,2
Marcelino D Almeida,0,0,0,2017,fevereiro,2
Marcello Siciliano,0,0,0,2017,fevereiro,2
Marcelo Arar,1,0,1,2017,fevereiro,2
Marielle Franco,0,0,0,2017,fevereiro,2
Otoni de Paula,0,0,0,2017,fevereiro,2
Paulo Messina,0,0,0,2017,fevereiro,2
Paulo Pinheiro,0,0,0,2017,fevereiro,2
Prof.Célio Lupparelli,0,0,0,2017,fevereiro,2
Professor Adalmir,0,0,0,2017,fevereiro,2
Rafael Aloisio Freitas,0,0,0,2017,fevereiro,2
Reimont,0,0,0,2017,fevereiro,2
Renato Cinco,0,0,0,2017,fevereiro,2
Renato Moura,0,0,0,2017,fevereiro,2
Rocal,1,0,1,2017,fevereiro,2
Rosa Fernandes,0,0,0,2017,fevereiro,2
Tânia Bastos,0,0,0,2017,fevereiro,2
Tarcísio Motta,0,0,0,2017,fevereiro,2
Thiago K. Ribeiro,1,1,0,2017,fevereiro,2
Val Ceasa,0,0,0,2017,fevereiro,2
Vera Lins,1,0,1,2017,fevereiro,2
Veronica Costa,0,0,0,2017,fevereiro,2
Willian Coelho,1,0,1,2017,fevereiro,2
Zico,0,0,0,2017,fevereiro,2
Zico Bacana,0,0,0,2017,fevereiro,2
Alexandre Arraes,2,1,1,2017,março,3
Alexandre Isquierdo,0,0,0,2017,março,3
Carlo Caiado,3,1,2,2017,março,3
Carlos Bolsonaro,2,0,2,2017,março,3
Cesar Maia,3,3,0,2017,março,3
Chiquinho Brazão,3,0,3,2017,março,3
Cláudio Castro,1,0,1,2017,março,3
David Miranda,0,0,0,2017,março,3
Dr. Gilberto,1,0,1,2017,março,3
Dr. Jairinho,1,0,1,2017,março,3
Dr. João Ricardo,0,0,0,2017,março,3
Dr. Jorge Manaia,1,1,0,2017,março,3
Dr. Sergio Alves,3,0,3,2017,março,3
Eliseu Kessler,1,0,1,2017,março,3
Felipe Michel,1,0,1,2017,março,3
Fernando William,0,0,0,2017,março,3
Inaldo Silva,2,2,0,2017,março,3
Italo Ciba,0,0,0,2017,março,3
Jair da Mendes Gomes,1,0,1,2017,março,3
João Mendes de Jesus,1,0,1,2017,março,3
Jones Moura,2,0,2,2017,março,3
Jorge Felippe,0,0,0,2017,março,3
Junior da Lucinha,0,0,0,2017,março,3
Leandro Lyra,0,0,0,2017,março,3
Leonel Brizola,3,0,3,2017,março,3
Luciana Novaes,4,1,3,2017,março,3
Luiz Carlos Ramos Filho,0,0,0,2017,março,3
Marcelino D Almeida,1,0,1,2017,março,3
Marcello Siciliano,1,1,0,2017,março,3
Marcelo Arar,1,0,1,2017,março,3
Marielle Franco,1,0,1,2017,março,3
Otoni de Paula,1,0,1,2017,março,3
Paulo Messina,0,0,0,2017,março,3
Paulo Pinheiro,2,0,2,2017,março,3
Prof.Célio Lupparelli,1,0,1,2017,março,3
Professor Adalmir,0,0,0,2017,março,3
Rafael Aloisio Freitas,0,0,0,2017,março,3
Reimont,1,1,0,2017,março,3
Renato Cinco,2,0,2,2017,março,3
Renato Moura,3,0,3,2017,março,3
Rocal,1,0,1,2017,março,3
Rosa Fernandes,1,0,1,2017,março,3
Tânia Bastos,1,0,1,2017,março,3
Tarcísio Motta,0,0,0,2017,março,3
Thiago K. Ribeiro,5,1,4,2017,março,3
Val Ceasa,0,0,0,2017,março,3
Vera Lins,1,1,0,2017,março,3
Veronica Costa,5,2,3,2017,março,3
Willian Coelho,1,0,1,2017,março,3
Zico,1,0,1,2017,março,3
Zico Bacana,1,0,1,2017,março,3
Alexandre Arraes,0,0,0,2017,abril,4
Alexandre Isquierdo,0,0,0,2017,abril,4
Carlo Caiado,0,0,0,2017,abril,4
Carlos Bolsonaro,1,0,1,2017,abril,4
Cesar Maia,5,4,1,2017,abril,4
Chiquinho Brazão,4,0,4,2017,abril,4
Cláudio Castro,0,0,0,2017,abril,4
David Miranda,1,0,1,2017,abril,4
Dr. Gilberto,1,1,0,2017,abril,4
Dr. Jairinho,0,0,0,2017,abril,4
Dr. João Ricardo,3,3,0,2017,abril,4
Dr. Jorge Manaia,1,1,0,2017,abril,4
Dr. Sergio Alves,0,0,0,2017,abril,4
Eliseu Kessler,3,3,0,2017,abril,4
Felipe Michel,0,0,0,2017,abril,4
Fernando William,0,0,0,2017,abril,4
Inaldo Silva,1,1,0,2017,abril,4
Italo Ciba,0,0,0,2017,abril,4
Jair da Mendes Gomes,0,0,0,2017,abril,4
João Mendes de Jesus,0,0,0,2017,abril,4
Jones Moura,0,0,0,2017,abril,4
Jorge Felippe,2,2,0,2017,abril,4
Junior da Lucinha,2,0,2,2017,abril,4
Leandro Lyra,0,0,0,2017,abril,4
Leonel Brizola,1,0,1,2017,abril,4
Luciana Novaes,1,1,0,2017,abril,4
Luiz Carlos Ramos Filho,0,0,0,2017,abril,4
Marcelino D Almeida,2,1,1,2017,abril,4
Marcello Siciliano,0,0,0,2017,abril,4
Marcelo Arar,1,0,1,2017,abril,4
Marielle Franco,0,0,0,2017,abril,4
Otoni de Paula,1,0,1,2017,abril,4
Paulo Messina,0,0,0,2017,abril,4
Paulo Pinheiro,1,0,1,2017,abril,4
Prof.Célio Lupparelli,1,0,1,2017,abril,4
Professor Adalmir,0,0,0,2017,abril,4
Rafael Aloisio Freitas,0,0,0,2017,abril,4
Reimont,0,0,0,2017,abril,4
Renato Cinco,0,0,0,2017,abril,4
Renato Moura,0,0,0,2017,abril,4
Rocal,1,0,1,2017,abril,4
Rosa Fernandes,1,0,1,2017,abril,4
Tânia Bastos,1,0,1,2017,abril,4
Tarcísio Motta,0,0,0,2017,abril,4
Thiago K. Ribeiro,0,0,0,2017,abril,4
Val Ceasa,0,0,0,2017,abril,4
Vera Lins,0,0,0,2017,abril,4
Veronica Costa,0,0,0,2017,abril,4
Willian Coelho,1,1,0,2017,abril,4
Zico,0,0,0,2017,abril,4
Zico Bacana,0,0,0,2017,abril,4
Alexandre Arraes,0,0,0,2017,maio,5
Alexandre Isquierdo,0,0,0,2017,maio,5
Carlo Caiado,1,1,0,2017,maio,5
Carlos Bolsonaro,1,0,1,2017,maio,5
Cesar Maia,0,0,0,2017,maio,5
Chiquinho Brazão,2,0,2,2017,maio,5
Cláudio Castro,0,0,0,2017,maio,5
David Miranda,1,0,1,2017,maio,5
Dr. Carlos Eduardo,1,1,0,2017,maio,5
Dr. Gilberto,2,0,2,2017,maio,5
Dr. Jairinho,0,0,0,2017,maio,5
Dr. João Ricardo,1,1,0,2017,maio,5
Dr. Jorge Manaia,0,0,0,2017,maio,5
Eliseu Kessler,1,0,1,2017,maio,5
Felipe Michel,1,0,1,2017,maio,5
Fernando William,0,0,0,2017,maio,5
Inaldo Silva,0,0,0,2017,maio,5
Italo Ciba,1,0,1,2017,maio,5
Jair da Mendes Gomes,1,0,1,2017,maio,5
João Mendes de Jesus,1,0,1,2017,maio,5
Jones Moura,1,1,0,2017,maio,5
Jorge Felippe,2,2,0,2017,maio,5
Junior da Lucinha,0,0,0,2017,maio,5
Leandro Lyra,0,0,0,2017,maio,5
Leonel Brizola,1,0,1,2017,maio,5
Luciana Novaes,2,1,1,2017,maio,5
Luiz Carlos Ramos Filho,1,0,1,2017,maio,5
Marcelino D Almeida,1,0,1,2017,maio,5
Marcello Siciliano,0,0,0,2017,maio,5
Marcelo Arar,1,0,1,2017,maio,5
Marielle Franco,1,0,1,2017,maio,5
Otoni de Paula,0,0,0,2017,maio,5
Paulo Messina,1,0,1,2017,maio,5
Paulo Pinheiro,1,0,1,2017,maio,5
Prof.Célio Lupparelli,0,0,0,2017,maio,5
Professor Adalmir,1,0,1,2017,maio,5
Rafael Aloisio Freitas,0,0,0,2017,maio,5
Reimont,1,0,1,2017,maio,5
Renato Cinco,0,0,0,2017,maio,5
Renato Moura,1,0,1,2017,maio,5
Rocal,3,0,3,2017,maio,5
Rosa Fernandes,0,0,0,2017,maio,5
Tânia Bastos,0,0,0,2017,maio,5
Tarcísio Motta,0,0,0,2017,maio,5
Thiago K. Ribeiro,0,0,0,2017,maio,5
Val Ceasa,0,0,0,2017,maio,5
Vera Lins,1,1,0,2017,maio,5
Veronica Costa,0,0,0,2017,maio,5
Willian Coelho,2,2,0,2017,maio,5
Zico,2,0,2,2017,maio,5
Zico Bacana,1,0,1,2017,maio,5
Alexandre Arraes,1,1,0,2017,junho,6
Alexandre Isquierdo,0,0,0,2017,junho,6
Carlo Caiado,1,1,0,2017,junho,6
Carlos Bolsonaro,0,0,0,2017,junho,6
Cesar Maia,0,0,0,2017,junho,6
Chiquinho Brazão,2,0,2,2017,junho,6
Cláudio Castro,0,0,0,2017,junho,6
David Miranda,0,0,0,2017,junho,6
Dr. Carlos Eduardo,0,0,0,2017,junho,6
Dr. Gilberto,0,0,0,2017,junho,6
Dr. Jairinho,0,0,0,2017,junho,6
Dr. João Ricardo,4,0,4,2017,junho,6
Dr. Jorge Manaia,1,1,0,2017,junho,6
Eliseu Kessler,0,0,0,2017,junho,6
Felipe Michel,0,0,0,2017,junho,6
Fernando William,0,0,0,2017,junho,6
Inaldo Silva,0,0,0,2017,junho,6
Italo Ciba,0,0,0,2017,junho,6
Jair da Mendes Gomes,0,0,0,2017,junho,6
João Mendes de Jesus,0,0,0,2017,junho,6
Jones Moura,0,0,0,2017,junho,6
Jorge Felippe,0,0,0,2017,junho,6
Junior da Lucinha,0,0,0,2017,junho,6
Leandro Lyra,0,0,0,2017,junho,6
Leonel Brizola,2,0,2,2017,junho,6
Luciana Novaes,0,0,0,2017,junho,6
Luiz Carlos Ramos Filho,0,0,0,2017,junho,6
Marcelino D Almeida,1,0,1,2017,junho,6
Marcello Siciliano,1,1,0,2017,junho,6
Marcelo Arar,0,0,0,2017,junho,6
Marielle Franco,3,3,0,2017,junho,6
Otoni de Paula,1,0,1,2017,junho,6
Paulo Messina,0,0,0,2017,junho,6
Paulo Pinheiro,0,0,0,2017,junho,6
Prof.Célio Lupparelli,0,0,0,2017,junho,6
Professor Adalmir,0,0,0,2017,junho,6
Rafael Aloisio Freitas,0,0,0,2017,junho,6
Reimont,0,0,0,2017,junho,6
Renato Cinco,0,0,0,2017,junho,6
Renato Moura,3,0,3,2017,junho,6
Rocal,1,0,1,2017,junho,6
Rosa Fernandes,1,0,1,2017,junho,6
Tânia Bastos,0,0,0,2017,junho,6
Tarcísio Motta,0,0,0,2017,junho,6
Thiago K. Ribeiro,0,0,0,2017,junho,6
Val Ceasa,0,0,0,2017,junho,6
Vera Lins,1,1,0,2017,junho,6
Veronica Costa,0,0,0,2017,junho,6
Willian Coelho,2,0,2,2017,junho,6
Zico,1,0,1,2017,junho,6
Zico Bacana,0,0,0,2017,junho,6
Alexandre Arraes,0,0,0,2017,julho,7
Alexandre Isquierdo,0,0,0,2017,julho,7
Carlo Caiado,0,0,0,2017,julho,7
Carlos Bolsonaro,0,0,0,2017,julho,7
Cesar Maia,2,2,0,2017,julho,7
Chiquinho Brazão,1,0,1,2017,julho,7
Cláudio Castro,0,0,0,2017,julho,7
David Miranda,0,0,0,2017,julho,7
Dr. Carlos Eduardo,0,0,0,2017,julho,7
Dr. Gilberto,0,0,0,2017,julho,7
Dr. Jairinho,0,0,0,2017,julho,7
Dr. João Ricardo,0,0,0,2017,julho,7
Dr. Jorge Manaia,0,0,0,2017,julho,7
Eliseu Kessler,0,0,0,2017,julho,7
Felipe Michel,0,0,0,2017,julho,7
Fernando William,0,0,0,2017,julho,7
Inaldo Silva,0,0,0,2017,julho,7
Italo Ciba,0,0,0,2017,julho,7
Jair da Mendes Gomes,0,0,0,2017,julho,7
João Mendes de Jesus,0,0,0,2017,julho,7
Jones Moura,1,1,0,2017,julho,7
Jorge Felippe,0,0,0,2017,julho,7
Junior da Lucinha,0,0,0,2017,julho,7
Leandro Lyra,0,0,0,2017,julho,7
Leonel Brizola,1,0,1,2017,julho,7
Luciana Novaes,0,0,0,2017,julho,7
Luiz Carlos Ramos Filho,0,0,0,2017,julho,7
Marcelino D Almeida,0,0,0,2017,julho,7
Marcello Siciliano,0,0,0,2017,julho,7
Marcelo Arar,0,0,0,2017,julho,7
Marielle Franco,2,0,2,2017,julho,7
Otoni de Paula,0,0,0,2017,julho,7
Paulo Messina,0,0,0,2017,julho,7
Paulo Pinheiro,0,0,0,2017,julho,7
Prof.Célio Lupparelli,0,0,0,2017,julho,7
Professor Adalmir,0,0,0,2017,julho,7
Rafael Aloisio Freitas,0,0,0,2017,julho,7
Reimont,0,0,0,2017,julho,7
Renato Cinco,0,0,0,2017,julho,7
Renato Moura,0,0,0,2017,julho,7
Rocal,0,0,0,2017,julho,7
Rosa Fernandes,0,0,0,2017,julho,7
Tânia Bastos,0,0,0,2017,julho,7
Tarcísio Motta,0,0,0,2017,julho,7
Thiago K. Ribeiro,0,0,0,2017,julho,7
Val Ceasa,0,0,0,2017,julho,7
Vera Lins,0,0,0,2017,julho,7
Veronica Costa,0,0,0,2017,julho,7
Willian Coelho,0,0,0,2017,julho,7
Zico,0,0,0,2017,julho,7
Zico Bacana,0,0,0,2017,julho,7
Alexandre Arraes,1,1,0,2017,agosto,8
Alexandre Isquierdo,0,0,0,2017,agosto,8
Carlo Caiado,0,0,0,2017,agosto,8
Carlos Bolsonaro,1,0,1,2017,agosto,8
Cesar Maia,0,0,0,2017,agosto,8
Chiquinho Brazão,3,0,3,2017,agosto,8
Cláudio Castro,0,0,0,2017,agosto,8
David Miranda,0,0,0,2017,agosto,8
Dr. Carlos Eduardo,0,0,0,2017,agosto,8
Dr. Gilberto,2,0,2,2017,agosto,8
Dr. Jairinho,0,0,0,2017,agosto,8
Dr. João Ricardo,3,0,3,2017,agosto,8
Dr. Jorge Manaia,2,2,0,2017,agosto,8
Eliseu Kessler,0,0,0,2017,agosto,8
Felipe Michel,0,0,0,2017,agosto,8
Fernando William,0,0,0,2017,agosto,8
Inaldo Silva,4,3,1,2017,agosto,8
Italo Ciba,0,0,0,2017,agosto,8
Jair da Mendes Gomes,0,0,0,2017,agosto,8
João Mendes de Jesus,0,0,0,2017,agosto,8
Jones Moura,2,1,1,2017,agosto,8
Jorge Felippe,1,1,0,2017,agosto,8
Junior da Lucinha,1,1,0,2017,agosto,8
Leandro Lyra,0,0,0,2017,agosto,8
Leonel Brizola,1,0,1,2017,agosto,8
Luciana Novaes,1,1,0,2017,agosto,8
Luiz Carlos Ramos Filho,0,0,0,2017,agosto,8
Marcelino D Almeida,0,0,0,2017,agosto,8
Marcello Siciliano,1,1,0,2017,agosto,8
Marcelo Arar,0,0,0,2017,agosto,8
Marielle Franco,1,1,0,2017,agosto,8
Otoni de Paula,3,0,3,2017,agosto,8
Paulo Messina,0,0,0,2017,agosto,8
Paulo Pinheiro,2,0,2,2017,agosto,8
Prof.Célio Lupparelli,4,4,0,2017,agosto,8
Professor Adalmir,0,0,0,2017,agosto,8
Rafael Aloisio Freitas,0,0,0,2017,agosto,8
Reimont,0,0,0,2017,agosto,8
Renato Cinco,1,1,0,2017,agosto,8
Renato Moura,0,0,0,2017,agosto,8
Rocal,0,0,0,2017,agosto,8
Rosa Fernandes,1,0,1,2017,agosto,8
Tânia Bastos,0,0,0,2017,agosto,8
Tarcísio Motta,0,0,0,2017,agosto,8
Thiago K. Ribeiro,2,0,2,2017,agosto,8
Val Ceasa,1,0,1,2017,agosto,8
Vera Lins,0,0,0,2017,agosto,8
Veronica Costa,2,1,1,2017,agosto,8
Willian Coelho,3,0,3,2017,agosto,8
Zico,0,0,0,2017,agosto,8
Zico Bacana,0,0,0,2017,agosto,8
Alexandre Isquierdo,0,0,0,2017,setembro,9
Carlo Caiado,0,0,0,2017,setembro,9
Carlos Bolsonaro,0,0,0,2017,setembro,9
Cesar Maia,0,0,0,2017,setembro,9
Chiquinho Brazão,0,0,0,2017,setembro,9
Cláudio Castro,0,0,0,2017,setembro,9
David Miranda,3,0,3,2017,setembro,9
Dr. Carlos Eduardo,0,0,0,2017,setembro,9
Dr. Gilberto,0,0,0,2017,setembro,9
Dr. Jairinho,4,4,0,2017,setembro,9
Dr. João Ricardo,2,0,2,2017,setembro,9
Dr. Jorge Manaia,1,1,0,2017,setembro,9
Eliseu Kessler,0,0,0,2017,setembro,9
Felipe Michel,0,0,0,2017,setembro,9
Fernando William,0,0,0,2017,setembro,9
Inaldo Silva,0,0,0,2017,setembro,9
Italo Ciba,0,0,0,2017,setembro,9
Jair da Mendes Gomes,0,0,0,2017,setembro,9
João Mendes de Jesus,0,0,0,2017,setembro,9
Jones Moura,0,0,0,2017,setembro,9
Jorge Felippe,2,0,2,2017,setembro,9
Junior da Lucinha,0,0,0,2017,setembro,9
Leandro Lyra,0,0,0,2017,setembro,9
Leonel Brizola,0,0,0,2017,setembro,9
Luciana Novaes,3,2,1,2017,setembro,9
Luiz Carlos Ramos Filho,0,0,0,2017,setembro,9
Marcelino D Almeida,1,0,1,2017,setembro,9
Marcello Siciliano,3,3,0,2017,setembro,9
Marcelo Arar,3,0,3,2017,setembro,9
Marielle Franco,1,1,0,2017,setembro,9
Otoni de Paula,3,2,1,2017,setembro,9
Paulo Messina,1,0,1,2017,setembro,9
Paulo Pinheiro,0,0,0,2017,setembro,9
Prof.Célio Lupparelli,0,0,0,2017,setembro,9
Professor Adalmir,0,0,0,2017,setembro,9
Rafael Aloisio Freitas,0,0,0,2017,setembro,9
Reimont,0,0,0,2017,setembro,9
Renato Cinco,0,0,0,2017,setembro,9
Renato Moura,0,0,0,2017,setembro,9
Rocal,0,0,0,2017,setembro,9
Rosa Fernandes,0,0,0,2017,setembro,9
Tânia Bastos,0,0,0,2017,setembro,9
Tarcísio Motta,0,0,0,2017,setembro,9
Teresa Bergher,1,1,0,2017,setembro,9
Thiago K. Ribeiro,0,0,0,2017,setembro,9
Val Ceasa,0,0,0,2017,setembro,9
Vera Lins,1,1,0,2017,setembro,9
Veronica Costa,0,0,0,2017,setembro,9
Willian Coelho,2,0,2,2017,setembro,9
Zico,0,0,0,2017,setembro,9
Zico Bacana,0,0,0,2017,setembro,9
Alexandre Isquierdo,0,0,0,2017,outubro,10
Carlo Caiado,4,1,3,2017,outubro,10
Carlos Bolsonaro,2,0,2,2017,outubro,10
Cesar Maia,0,0,0,2017,outubro,10
Chiquinho Brazão,0,0,0,2017,outubro,10
Cláudio Castro,1,0,1,2017,outubro,10
David Miranda,0,0,0,2017,outubro,10
Dr. Carlos Eduardo,1,1,0,2017,outubro,10
Dr. Gilberto,0,0,0,2017,outubro,10
Dr. Jairinho,4,1,3,2017,outubro,10
Dr. João Ricardo,0,0,0,2017,outubro,10
Dr. Jorge Manaia,5,5,0,2017,outubro,10
Eliseu Kessler,1,0,1,2017,outubro,10
Felipe Michel,0,0,0,2017,outubro,10
Fernando William,0,0,0,2017,outubro,10
Inaldo Silva,0,0,0,2017,outubro,10
Italo Ciba,0,0,0,2017,outubro,10
Jair da Mendes Gomes,0,0,0,2017,outubro,10
João Mendes de Jesus,0,0,0,2017,outubro,10
Jones Moura,1,0,1,2017,outubro,10
Jorge Felippe,2,0,2,2017,outubro,10
Junior da Lucinha,0,0,0,2017,outubro,10
Leandro Lyra,0,0,0,2017,outubro,10
Leonel Brizola,0,0,0,2017,outubro,10
Luciana Novaes,1,0,1,2017,outubro,10
Luiz Carlos Ramos Filho,0,0,0,2017,outubro,10
Marcelino D Almeida,0,0,0,2017,outubro,10
Marcello Siciliano,3,3,0,2017,outubro,10
Marcelo Arar,0,0,0,2017,outubro,10
Marielle Franco,1,1,0,2017,outubro,10
Otoni de Paula,0,0,0,2017,outubro,10
Paulo Messina,0,0,0,2017,outubro,10
Paulo Pinheiro,0,0,0,2017,outubro,10
Prof.Célio Lupparelli,0,0,0,2017,outubro,10
Professor Adalmir,0,0,0,2017,outubro,10
