vereador,faltas,faltas_abonadas,total_de_faltas,ano,nome_mes,mes
Rafael Aloisio Freitas,0,0,0,2017,outubro,10
Reimont,0,0,0,2017,outubro,10
Renato Cinco,0,0,0,2017,outubro,10
Renato Moura,1,0,1,2017,outubro,10
Rocal,0,0,0,2017,outubro,10
Rosa Fernandes,0,0,0,2017,outubro,10
Tânia Bastos,2,1,1,2017,outubro,10
Tarcísio Motta,0,0,0,2017,outubro,10
Teresa Bergher,1,1,0,2017,outubro,10
Thiago K. Ribeiro,1,1,0,2017,outubro,10
Val Ceasa,0,0,0,2017,outubro,10
Vera Lins,4,4,0,2017,outubro,10
Veronica Costa,0,0,0,2017,outubro,10
Willian Coelho,1,1,0,2017,outubro,10
Zico,0,0,0,2017,outubro,10
Zico Bacana,0,0,0,2017,outubro,10
Alexandre Isquierdo,0,0,0,2017,novmebro,11
Carlo Caiado,3,2,1,2017,novmebro,11
Carlos Bolsonaro,0,0,0,2017,novmebro,11
Cesar Maia,3,3,0,2017,novmebro,11
Chiquinho Brazão,3,0,3,2017,novmebro,11
Cláudio Castro,1,0,1,2017,novmebro,11
David Miranda,0,0,0,2017,novmebro,11
Dr. Carlos Eduardo,0,0,0,2017,novmebro,11
Dr. Gilberto,0,0,0,2017,novmebro,11
Dr. Jairinho,1,0,1,2017,novmebro,11
Dr. João Ricardo,1,0,1,2017,novmebro,11
Dr. Jorge Manaia,1,1,0,2017,novmebro,11
Eliseu Kessler,0,0,0,2017,novmebro,11
Felipe Michel,0,0,0,2017,novmebro,11
Fernando William,0,0,0,2017,novmebro,11
Inaldo Silva,0,0,0,2017,novmebro,11
Italo Ciba,0,0,0,2017,novmebro,11
Jair da Mendes Gomes,0,0,0,2017,novmebro,11
João Mendes de Jesus,0,0,0,2017,novmebro,11
Jones Moura,3,0,3,2017,novmebro,11
Jorge Felippe,1,0,1,2017,novmebro,11
Junior da Lucinha,1,0,1,2017,novmebro,11
Leandro Lyra,0,0,0,2017,novmebro,11
Leonel Brizola,0,0,0,2017,novmebro,11
Luciana Novaes,1,0,1,2017,novmebro,11
Luiz Carlos Ramos Filho,0,0,0,2017,novmebro,11
Marcelino D Almeida,0,0,0,2017,novmebro,11
Marcello Siciliano,0,0,0,2017,novmebro,11
Marcelo Arar,1,0,1,2017,novmebro,11
Marielle Franco,0,0,0,2017,novmebro,11
Otoni de Paula,1,0,1,2017,novmebro,11
Paulo Messina,1,0,1,2017,novmebro,11
Paulo Pinheiro,0,0,0,2017,novmebro,11
Prof.Célio Lupparelli,0,0,0,2017,novmebro,11
Professor Adalmir,0,0,0,2017,novmebro,11
Rafael Aloisio Freitas,1,0,1,2017,novmebro,11
Reimont,1,0,1,2017,novmebro,11
Renato Cinco,3,3,0,2017,novmebro,11
Renato Moura,1,0,1,2017,novmebro,11
Rocal,0,0,0,2017,novmebro,11
Rosa Fernandes,0,0,0,2017,novmebro,11
Tânia Bastos,0,0,0,2017,novmebro,11
Tarcísio Motta,0,0,0,2017,novmebro,11
Teresa Bergher,0,0,0,2017,novmebro,11
Thiago K. Ribeiro,2,0,2,2017,novmebro,11
Val Ceasa,0,0,0,2017,novmebro,11
Vera Lins,1,1,0,2017,novmebro,11
Veronica Costa,8,8,0,2017,novmebro,11
Willian Coelho,1,0,1,2017,novmebro,11
Zico,0,0,0,2017,novmebro,11
Zico Bacana,0,0,0,2017,novmebro,11
Alexandre Isquierdo,2,1,1,2017,dezembro,12
Carlo Caiado,1,0,1,2017,dezembro,12
Carlos Bolsonaro,1,0,1,2017,dezembro,12
Cesar Maia,0,0,0,2017,dezembro,12
Chiquinho Brazão,1,0,1,2017,dezembro,12
Cláudio Castro,0,0,0,2017,dezembro,12
David Miranda,0,0,0,2017,dezembro,12
Dr. Carlos Eduardo,0,0,0,2017,dezembro,12
Dr. Gilberto,0,0,0,2017,dezembro,12
Dr. Jairinho,1,0,1,2017,dezembro,12
Dr. João Ricardo,3,1,2,2017,dezembro,12
Dr. Jorge Manaia,3,3,0,2017,dezembro,12
Eliseu Kessler,2,0,2,2017,dezembro,12
Felipe Michel,0,0,0,2017,dezembro,12
Fernando William,0,0,0,2017,dezembro,12
Inaldo Silva,0,0,0,2017,dezembro,12
Italo Ciba,0,0,0,2017,dezembro,12
Jair da Mendes Gomes,0,0,0,2017,dezembro,12
João Mendes de Jesus,0,0,0,2017,dezembro,12
Jones Moura,1,0,1,2017,dezembro,12
Jorge Felippe,1,0,1,2017,dezembro,12
Junior da Lucinha,1,0,1,2017,dezembro,12
Leandro Lyra,0,0,0,2017,dezembro,12
Leonel Brizola,1,0,1,2017,dezembro,12
Luciana Novaes,1,1,0,2017,dezembro,12
Luiz Carlos Ramos Filho,0,0,0,2017,dezembro,12
Marcelino D Almeida,0,0,0,2017,dezembro,12
Marcello Siciliano,0,0,0,2017,dezembro,12
Marcelo Arar,1,0,1,2017,dezembro,12
Marielle Franco,1,1,0,2017,dezembro,12
Otoni de Paula,1,0,1,2017,dezembro,12
Paulo Messina,0,0,0,2017,dezembro,12
Paulo Pinheiro,1,0,1,2017,dezembro,12
Prof.Célio Lupparelli,1,1,0,2017,dezembro,12
Professor Adalmir,1,1,0,2017,dezembro,12
Rafael Aloisio Freitas,0,0,0,2017,dezembro,12
Reimont,1,0,1,2017,dezembro,12
Renato Cinco,0,0,0,2017,dezembro,12
Renato Moura,2,1,1,2017,dezembro,12
Rocal,1,0,1,2017,dezembro,12
Rosa Fernandes,1,0,1,2017,dezembro,12
Tânia Bastos,0,0,0,2017,dezembro,12
Tarcísio Motta,0,0,0,2017,dezembro,12
Teresa Bergher,0,0,0,2017,dezembro,12
Thiago K. Ribeiro,0,0,0,2017,dezembro,12
Ulisses Marins,0,0,0,2017,dezembro,12
Val Ceasa,0,0,0,2017,dezembro,12
Vera Lins,0,0,0,2017,dezembro,12
Veronica Costa,1,0,1,2017,dezembro,12
Willian Coelho,2,0,2,2017,dezembro,12
Zico,0,0,0,2017,dezembro,12
Zico Bacana,0,0,0,2017,dezembro,12
Alexandre Isquierdo,2,1,1,2018,fevereiro,2
Carlo Caiado,2,1,1,2018,fevereiro,2
Carlos Bolsonaro,3,3,0,2018,fevereiro,2
Cesar Maia,1,1,0,2018,fevereiro,2
Chiquinho Brazão,2,0,2,2018,fevereiro,2
Cláudio Castro,0,0,0,2018,fevereiro,2
David Miranda,0,0,0,2018,fevereiro,2
Dr. Carlos Eduardo,0,0,0,2018,fevereiro,2
Dr. Jairinho,2,0,2,2018,fevereiro,2
Dr. João Ricardo,0,0,0,2018,fevereiro,2
Dr. Jorge Manaia,1,0,1,2018,fevereiro,2
Eliseu Kessler,1,0,1,2018,fevereiro,2
Felipe Michel,0,0,0,2018,fevereiro,2
Fernando William,0,0,0,2018,fevereiro,2
Inaldo Silva,2,1,1,2018,fevereiro,2
Italo Ciba,0,0,0,2018,fevereiro,2
Jair da Mendes Gomes,0,0,0,2018,fevereiro,2
João Mendes de Jesus,0,0,0,2018,fevereiro,2
Jones Moura,0,0,0,2018,fevereiro,2
Jorge Felippe,1,0,1,2018,fevereiro,2
Junior da Lucinha,0,0,0,2018,fevereiro,2
Leandro Lyra,0,0,0,2018,fevereiro,2
Leonel Brizola,2,0,2,2018,fevereiro,2
Luciana Novaes,4,4,0,2018,fevereiro,2
Luiz Carlos Ramos Filho,0,0,0,2018,fevereiro,2
Marcelino D Almeida,1,0,1,2018,fevereiro,2
Marcello Siciliano,1,0,1,2018,fevereiro,2
Marcelo Arar,1,0,1,2018,fevereiro,2
Marielle Franco,0,0,0,2018,fevereiro,2
Otoni de Paula,0,0,0,2018,fevereiro,2
Paulo Pinheiro,0,0,0,2018,fevereiro,2
Prof.Célio Lupparelli,0,0,0,2018,fevereiro,2
Professor Adalmir,0,0,0,2018,fevereiro,2
Rafael Aloisio Freitas,0,0,0,2018,fevereiro,2
Reimont,0,0,0,2018,fevereiro,2
Renato Cinco,0,0,0,2018,fevereiro,2
Renato Moura,1,0,1,2018,fevereiro,2
Rocal,0,0,0,2018,fevereiro,2
Rosa Fernandes,0,0,0,2018,fevereiro,2
Tânia Bastos,0,0,0,2018,fevereiro,2
Tarcísio Motta,0,0,0,2018,fevereiro,2
Teresa Bergher,0,0,0,2018,fevereiro,2
Thiago K. Ribeiro,1,0,1,2018,fevereiro,2
Ulisses Marins,0,0,0,2018,fevereiro,2
Val Ceasa,0,0,0,2018,fevereiro,2
Vera Lins,0,0,0,2018,fevereiro,2
Veronica Costa,0,0,0,2018,fevereiro,2
Welington Dias,0,0,0,2018,fevereiro,2
Willian Coelho,2,0,2,2018,fevereiro,2
Zico,0,0,0,2018,fevereiro,2
Zico Bacana,0,0,0,2018,fevereiro,2
Alexandre Isquierdo,1,0,1,2018,março,3
Babá,0,0,0,2018,março,3
Carlo Caiado,4,4,0,2018,março,3
Carlos Bolsonaro,1,1,0,2018,março,3
Cesar Maia,0,0,0,2018,março,3
Chiquinho Brazão,1,0,1,2018,março,3
Cláudio Castro,1,1,0,2018,março,3
David Miranda,2,0,2,2018,março,3
Dr. Carlos Eduardo,0,0,0,2018,março,3
Dr. Jairinho,0,0,0,2018,março,3
Dr. João Ricardo,2,0,2,2018,março,3
Dr. Jorge Manaia,1,1,0,2018,março,3
Eliseu Kessler,4,3,1,2018,março,3
Felipe Michel,1,1,0,2018,março,3
Fernando William,2,2,0,2018,março,3
Inaldo Silva,0,0,0,2018,março,3
Italo Ciba,0,0,0,2018,março,3
Jair da Mendes Gomes,0,0,0,2018,março,3
João Mendes de Jesus,0,0,0,2018,março,3
Jones Moura,0,0,0,2018,março,3
Jorge Felippe,2,1,1,2018,março,3
Junior da Lucinha,0,0,0,2018,março,3
Leandro Lyra,0,0,0,2018,março,3
Leonel Brizola,0,0,0,2018,março,3
Luciana Novaes,0,0,0,2018,março,3
Luiz Carlos Ramos Filho,2,2,0,2018,março,3
Marcelino D Almeida,1,0,1,2018,março,3
Marcello Siciliano,1,1,0,2018,março,3
Marcelo Arar,3,1,2,2018,março,3
Marielle Franco,0,0,0,2018,março,3
Otoni de Paula,1,1,0,2018,março,3
Paulo Pinheiro,0,0,0,2018,março,3
Prof.Célio Lupparelli,2,0,2,2018,março,3
Professor Adalmir,0,0,0,2018,março,3
Rafael Aloisio Freitas,0,0,0,2018,março,3
Reimont,1,1,0,2018,março,3
Renato Cinco,0,0,0,2018,março,3
Renato Moura,2,0,2,2018,março,3
Rocal,2,1,1,2018,março,3
Rosa Fernandes,1,0,1,2018,março,3
Tânia Bastos,1,0,1,2018,março,3
Tarcísio Motta,0,0,0,2018,março,3
Teresa Bergher,3,3,0,2018,março,3
Thiago K. Ribeiro,1,1,0,2018,março,3
Ulisses Marins,0,0,0,2018,março,3
Val Ceasa,0,0,0,2018,março,3
Vera Lins,0,0,0,2018,março,3
Veronica Costa,2,2,0,2018,março,3
Welington Dias,1,1,0,2018,março,3
Willian Coelho,2,0,2,2018,março,3
Zico,0,0,0,2018,março,3
Zico Bacana,5,5,0,2018,março,3
Alexandre Isquierdo,1,0,1,2018,abril,4
Átila A. Nunes,1,0,1,2018,abril,4
Babá,1,1,0,2018,abril,4
Carlo Caiado,0,0,0,2018,abril,4
Carlos Bolsonaro,0,0,0,2018,abril,4
Cesar Maia,1,1,0,2018,abril,4
Chiquinho Brazão,2,0,2,2018,abril,4
Cláudio Castro,0,0,0,2018,abril,4
Daniel Martins,0,0,0,2018,abril,4
David Miranda,1,0,1,2018,abril,4
Dr. Carlos Eduardo,0,0,0,2018,abril,4
Dr. Jairinho,0,0,0,2018,abril,4
Dr. João Ricardo,0,0,0,2018,abril,4
Dr. Jorge Manaia,0,0,0,2018,abril,4
Eliseu Kessler,1,0,1,2018,abril,4
Felipe Michel,0,0,0,2018,abril,4
Fernando William,0,0,0,2018,abril,4
Inaldo Silva,0,0,0,2018,abril,4
Italo Ciba,1,1,0,2018,abril,4
Jair da Mendes Gomes,0,0,0,2018,abril,4
João Mendes de Jesus,0,0,0,2018,abril,4
Jones Moura,2,1,1,2018,abril,4
Jorge Felippe,2,0,2,2018,abril,4
Junior da Lucinha,2,0,2,2018,abril,4
Leandro Lyra,0,0,0,2018,abril,4
Leonel Brizola,2,0,2,2018,abril,4
Luciana Novaes,1,1,0,2018,abril,4
Luiz Carlos Ramos Filho,0,0,0,2018,abril,4
Marcelino D Almeida,0,0,0,2018,abril,4
Marcello Siciliano,0,0,0,2018,abril,4
Marcelo Arar,0,0,0,2018,abril,4
Otoni de Paula,0,0,0,2018,abril,4
Paulo Pinheiro,0,0,0,2018,abril,4
Prof.Célio Lupparelli,0,0,0,2018,abril,4
Professor Adalmir,1,1,0,2018,abril,4
Rafael Aloisio Freitas,0,0,0,2018,abril,4
Reimont,0,0,0,2018,abril,4
Renato Cinco,1,1,0,2018,abril,4
Renato Moura,0,0,0,2018,abril,4
Rocal,1,0,1,2018,abril,4
Rosa Fernandes,0,0,0,2018,abril,4
Tânia Bastos,0,0,0,2018,abril,4
Tarcísio Motta,1,1,0,2018,abril,4
Teresa Bergher,0,0,0,2018,abril,4
Thiago K. Ribeiro,0,0,0,2018,abril,4
Tiãozinho do Jacaré,1,1,0,2018,abril,4
Ulisses Marins,0,0,0,2018,abril,4
Val Ceasa,0,0,0,2018,abril,4
Vera Lins,3,3,0,2018,abril,4
Veronica Costa,1,1,0,2018,abril,4
Welington Dias,0,0,0,2018,abril,4
Willian Coelho,2,0,2,2018,abril,4
Zico,0,0,0,2018,abril,4
Zico Bacana,1,1,0,2018,abril,4
Alexandre Isquierdo,0,0,0,2018,maio,5
Átila A. Nunes,2,0,2,2018,maio,5
Babá,2,2,0,2018,maio,5
Carlo Caiado,0,0,0,2018,maio,5
Carlos Bolsonaro,0,0,0,2018,maio,5
Cesar Maia,3,2,1,2018,maio,5
Chiquinho Brazão,3,0,3,2018,maio,5
Cláudio Castro,0,0,0,2018,maio,5
Daniel Martins,0,0,0,2018,maio,5
David Miranda,2,2,0,2018,maio,5
Dr. Carlos Eduardo,0,0,0,2018,maio,5
Dr. Jairinho,0,0,0,2018,maio,5
Dr. Jorge Manaia,1,1,0,2018,maio,5
Eliseu Kessler,1,1,0,2018,maio,5
Felipe Michel,0,0,0,2018,maio,5
Fernando William,0,0,0,2018,maio,5
Inaldo Silva,1,1,0,2018,maio,5
Italo Ciba,3,3,0,2018,maio,5
Jair da Mendes Gomes,1,1,0,2018,maio,5
Jones Moura,1,0,1,2018,maio,5
Jorge Felippe,2,2,0,2018,maio,5
Junior da Lucinha,0,0,0,2018,maio,5
Leandro Lyra,0,0,0,2018,maio,5
Leonel Brizola,0,0,0,2018,maio,5
Luciana Novaes,4,4,0,2018,maio,5
Luiz Carlos Ramos Filho,0,0,0,2018,maio,5
Marcelino D Almeida,0,0,0,2018,maio,5
Marcello Siciliano,5,0,5,2018,maio,5
Marcelo Arar,1,0,1,2018,maio,5
Otoni de Paula,1,0,1,2018,maio,5
Paulo Pinheiro,0,0,0,2018,maio,5
Prof.Célio Lupparelli,2,2,0,2018,maio,5
Professor Adalmir,0,0,0,2018,maio,5
Rafael Aloisio Freitas,0,0,0,2018,maio,5
Reimont,0,0,0,2018,maio,5
Renato Cinco,0,0,0,2018,maio,5
Rocal,0,0,0,2018,maio,5
Rosa Fernandes,0,0,0,2018,maio,5
Tânia Bastos,0,0,0,2018,maio,5
Tarcísio Motta,0,0,0,2018,maio,5
Teresa Bergher,2,0,2,2018,maio,5
Thiago K. Ribeiro,2,2,0,2018,maio,5
Tiãozinho do Jacaré,0,0,0,2018,maio,5
Ulisses Marins,0,0,0,2018,maio,5
Val Ceasa,0,0,0,2018,maio,5
Vera Lins,1,1,0,2018,maio,5
Veronica Costa,1,1,0,2018,maio,5
Welington Dias,0,0,0,2018,maio,5
Willian Coelho,2,0,2,2018,maio,5
Zico,0,0,0,2018,maio,5
Zico Bacana,0,0,0,2018,maio,5
Alexandre Isquierdo,0,0,0,2018,junho,6
Átila A. Nunes,0,0,0,2018,junho,6
Babá,0,0,0,2018,junho,6
Carlo Caiado,0,0,0,2018,junho,6
Carlos Bolsonaro,0,0,0,2018,junho,6
Cesar Maia,4,4,0,2018,junho,6
Chiquinho Brazão,1,0,1,2018,junho,6
Cláudio Castro,0,0,0,2018,junho,6
Daniel Martins,0,0,0,2018,junho,6
David Miranda,1,0,1,2018,junho,6
Dr. Carlos Eduardo,0,0,0,2018,junho,6
Dr. Jairinho,0,0,0,2018,junho,6
Dr. João Ricardo,1,0,1,2018,junho,6
Dr. Jorge Manaia,0,0,0,2018,junho,6
Eliseu Kessler,2,1,1,2018,junho,6
Felipe Michel,0,0,0,2018,junho,6
Fernando William,0,0,0,2018,junho,6
Inaldo Silva,1,1,0,2018,junho,6
Italo Ciba,0,0,0,2018,junho,6
Jair da Mendes Gomes,0,0,0,2018,junho,6
Jones Moura,1,0,1,2018,junho,6
Jorge Felippe,0,0,0,2018,junho,6
Junior da Lucinha,0,0,0,2018,junho,6
Leandro Lyra,0,0,0,2018,junho,6
Leonel Brizola,0,0,0,2018,junho,6
Luciana Novaes,1,1,0,2018,junho,6
Luiz Carlos Ramos Filho,0,0,0,2018,junho,6
Marcelino D Almeida,0,0,0,2018,junho,6
Marcello Siciliano,1,0,1,2018,junho,6
Marcelo Arar,2,0,2,2018,junho,6
Otoni de Paula,1,0,1,2018,junho,6
Paulo Messina,0,0,0,2018,junho,6
Paulo Pinheiro,0,0,0,2018,junho,6
Prof.Célio Lupparelli,0,0,0,2018,junho,6
Professor Adalmir,0,0,0,2018,junho,6
Rafael Aloisio Freitas,2,0,2,2018,junho,6
Reimont,0,0,0,2018,junho,6
Renato Cinco,0,0,0,2018,junho,6
Rocal,0,0,0,2018,junho,6
Rosa Fernandes,4,3,1,2018,junho,6
Tânia Bastos,0,0,0,2018,junho,6
Tarcísio Motta,0,0,0,2018,junho,6
Teresa Bergher,0,0,0,2018,junho,6
Thiago K. Ribeiro,0,0,0,2018,junho,6
Tiãozinho do Jacaré,0,0,0,2018,junho,6
Ulisses Marins,0,0,0,2018,junho,6
Val Ceasa,0,0,0,2018,junho,6
Vera Lins,0,0,0,2018,junho,6
Veronica Costa,0,0,0,2018,junho,6
Welington Dias,0,0,0,2018,junho,6
Willian Coelho,0,0,0,2018,junho,6
Zico,0,0,0,2018,junho,6
Zico Bacana,0,0,0,2018,junho,6
Alexandre Isquierdo,0,0,0,2018,julho,7
Átila A. Nunes,0,0,0,2018,julho,7
Babá,0,0,0,2018,julho,7
Carlo Caiado,1,1,0,2018,julho,7
Carlos Bolsonaro,1,0,1,2018,julho,7
Cesar Maia,0,0,0,2018,julho,7
Chiquinho Brazão,1,0,1,2018,julho,7
Cláudio Castro,0,0,0,2018,julho,7
Daniel Martins,0,0,0,2018,julho,7
David Miranda,1,0,1,2018,julho,7
Dr. Carlos Eduardo,1,1,0,2018,julho,7
Dr. Jairinho,0,0,0,2018,julho,7
Dr. Jorge Manaia,0,0,0,2018,julho,7
Eliseu Kessler,1,0,1,2018,julho,7
Felipe Michel,0,0,0,2018,julho,7
Fernando William,0,0,0,2018,julho,7
Inaldo Silva,0,0,0,2018,julho,7
Italo Ciba,0,0,0,2018,julho,7
Jair da Mendes Gomes,0,0,0,2018,julho,7
Jones Moura,1,0,1,2018,julho,7
Jorge Felippe,0,0,0,2018,julho,7
Junior da Lucinha,1,0,1,2018,julho,7
Leandro Lyra,0,0,0,2018,julho,7
Leonel Brizola,0,0,0,2018,julho,7
Luciana Novaes,0,0,0,2018,julho,7
Luiz Carlos Ramos Filho,0,0,0,2018,julho,7
Marcelino D Almeida,0,0,0,2018,julho,7
Marcello Siciliano,1,0,1,2018,julho,7
Marcelo Arar,0,0,0,2018,julho,7
Otoni de Paula,0,0,0,2018,julho,7
Paulo Pinheiro,0,0,0,2018,julho,7
Prof.Célio Lupparelli,0,0,0,2018,julho,7
Professor Adalmir,0,0,0,2018,julho,7
Rafael Aloisio Freitas,0,0,0,2018,julho,7
Reimont,0,0,0,2018,julho,7
Renato Cinco,0,0,0,2018,julho,7
Rocal,0,0,0,2018,julho,7
Rosa Fernandes,0,0,0,2018,julho,7
Tânia Bastos,0,0,0,2018,julho,7
Tarcísio Motta,0,0,0,2018,julho,7
Teresa Bergher,0,0,0,2018,julho,7
Thiago K. Ribeiro,1,0,1,2018,julho,7
Tiãozinho do Jacaré,0,0,0,2018,julho,7
Ulisses Marins,0,0,0,2018,julho,7
Val Ceasa,0,0,0,2018,julho,7
Vera Lins,0,0,0,2018,julho,7
Veronica Costa,0,0,0,2018,julho,7
Welington Dias,0,0,0,2018,julho,7
Willian Coelho,0,0,0,2018,julho,7
Zico,0,0,0,2018,julho,7
Zico Bacana,0,0,0,2018,julho,7
Alexandre Isquierdo,0,0,0,2018,agosto,8
Átila A. Nunes,0,0,0,2018,agosto,8
Babá,1,0,1,2018,agosto,8
Carlo Caiado,0,0,0,2018,agosto,8
Carlos Bolsonaro,0,0,0,2018,agosto,8
Cesar Maia,1,0,1,2018,agosto,8
Chiquinho Brazão,6,1,5,2018,agosto,8
Cláudio Castro,0,0,0,2018,agosto,8
Daniel Martins,1,0,1,2018,agosto,8
David Miranda,0,0,0,2018,agosto,8
Dr. Carlos Eduardo,0,0,0,2018,agosto,8
Dr. Jairinho,0,0,0,2018,agosto,8
Dr. Jorge Manaia,1,1,0,2018,agosto,8
Eliseu Kessler,2,0,2,2018,agosto,8
